first,last,season_code,installment,brand,brand_season,year,total_houseguests,total_days,age,age_group,gender,oringal_race_ethnicity,race_ethnicity,latinx_hispanic,biracial,biracial_one,biracial_two,lgbts,person_with_disability,hometown,homestate,appearance,comeback_sequester,came_back,first_eviction_day,first_eviction_week,day_of_comeback_sequester_end,days_of_comeback_sequesters,weeks_of_comeback_sequester,made_jury,days_of_jury_sequester,final_eviction_day,final_eviction_week,days_in_game_including_sequester,total_days_in_game_excluding_sequester,weeks_in_game_including_sequester,weeks_in_game_excluding_sequester,afp,ejected,self_evicted,total_vetos,total_hoh,other_comp_wins,total_nominations,total_wins,final_placement,placement_rank_percent,name,Game type
Will,Kirby,bbus2,2,regular,2,2001,12,82,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,miami,FL,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,0,0,0,4,0,1,0.08,Will Kirby,Manipulative
Nicole,Schaffrich,bbus2,2,regular,2,2001,12,82,31,30-somethings,female,white,white,no,no,,,non-lgbt,no,atlanta,GA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,0,1,0,2,1,2,0.17,Nicole Schaffrich,Intellectual
Monica,Bailey,bbus2,2,regular,2,2001,12,82,40,40-somethings,female,black,black,no,no,,,non-lgbt,no,brooklyn,NY,1,no,no,77,11,,,,yes,0,77,11,77,77,11,11,,no,no,0,1,0,2,1,3,0.25,Monica Bailey,Intellectual
Hardy,Ames-Hill,bbus2,2,regular,2,2001,12,82,31,30-somethings,male,white,white,no,no,,,non-lgbt,no,york,PA,1,no,no,68,10,,,,yes,0,68,10,68,68,9.71,9.71,,no,no,0,3,0,1,3,4,0.33,Hardy Ames-Hill,Athletic
Bunky,Miller,bbus2,2,regular,2,2001,12,82,36,30-somethings,male,white,white,no,no,,,gay,no,harrisburg,NC,1,no,no,61,9,,,,yes,0,61,9,61,61,8.71,8.71,,no,no,0,0,0,1,0,5,0.42,Bunky Miller,Social
Krista,Stegall,bbus2,2,regular,2,2001,12,82,28,20-somethings,female,white,white,no,no,,,non-lgbt,no,opelousas,LA,1,no,no,47,7,,,,yes,0,47,7,47,47,6.71,6.71,,no,no,0,1,0,2,1,6,0.5,Krista Stegall,Social
Kent,Blackwelder,bbus2,2,regular,2,2001,12,82,46,40-somethings,male,white,white,no,no,,,non-lgbt,no,powell,TN,1,no,no,40,6,,,,yes,0,40,6,40,40,5.71,5.71,,no,no,0,1,0,2,1,7,0.58,Kent Blackwelder,Floater
"Mike ""Boogie""",Malin,bbus2,2,regular,2,2001,12,82,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,33,5,,,,yes,0,33,5,33,33,4.71,4.71,,no,no,0,1,0,1,1,8,0.67,"Mike ""Boogie"" Malin",Social
Shannon,Dragoo,bbus2,2,regular,2,2001,12,82,29,20-somethings,female,white,white,no,no,,,non-lgbt,no,san antonio,TX,1,no,no,26,4,,,,yes,0,26,4,26,26,3.71,3.71,,no,no,0,0,0,1,0,9,0.75,Shannon Dragoo,Athletic
Autumn,Daly,bbus2,2,regular,2,2001,12,82,28,20-somethings,female,black,black,no,no,,,non-lgbt,no,irving,TX,1,no,no,19,3,,,,yes,0,19,3,19,19,2.71,2.71,,no,no,0,0,0,1,0,10,0.83,Autumn Daly,Floater
Sheryl,Braxton,bbus2,2,regular,2,2001,12,82,43,40-somethings,female,white,white,no,no,,,non-lgbt,no,ponte vedra beach,FL,1,no,no,12,2,,,,yes,0,12,2,12,12,1.71,1.71,,no,no,0,0,0,1,0,11,0.92,Sheryl Braxton,Social
Justin,Sebik,bbus2,2,regular,2,2001,12,82,26,20-somethings,male,white,white,no,no,,,non-lgbt,no,bayonne,NJ,1,no,no,10,1,,,,no,0,10,2,10,10,1.43,1.43,,yes,no,0,0,0,0,0,12,1,Justin Sebik,Athletic
Lisa,Donahue,bbus3,3,regular,3,2002,12,82,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,2,0,2,3,1,0.08,Lisa Donahue,Social
Danielle,Reyes,bbus3,3,regular,3,2002,12,82,30,30-somethings,female,black,black,no,no,,,non-lgbt,no,fairfield,CA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,1,0,1,2,2,0.17,Danielle Reyes,Intellectual
Jason,Guy,bbus3,3,regular,3,2002,12,82,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,mobile,AL,1,no,no,78,11,,,,yes,0,78,12,78,78,11.14,11.14,,no,no,1,2,0,1,3,3,0.25,Jason Guy,Social
Amy,Crews,bbus3,3,regular,3,2002,12,82,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,memphis,TN,1,yes,yes,27,4,41,14,2,yes,0,76,11,76,62,10.86,8.86,,no,no,1,1,0,6,2,4,0.33,Amy Crews,Social
Marcellas,Reynolds,bbus3,3,regular,3,2002,12,82,34,30-somethings,male,black,black,no,no,,,gay,no,chicago,IL,1,no,no,69,10,,,,yes,0,69,10,69,69,9.86,9.86,,no,no,1,2,0,3,3,5,0.42,Marcellas Reynolds,Social
Roddy,Mancuso,bbus3,3,regular,3,2002,12,82,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,morristown,NJ,1,no,no,62,9,,,,yes,0,62,9,62,62,8.86,8.86,,no,no,0,1,0,3,1,6,0.5,Roddy Mancuso,Athletic
Gerry,Lancaster,bbus3,3,regular,3,2002,12,82,51,50+,male,white,white,no,no,,,non-lgbt,no,shadow hills,CA,1,no,no,55,8,,,,yes,0,55,8,55,55,7.86,7.86,,no,no,2,1,0,1,3,7,0.58,Gerry Lancaster,Floater
Chiara,Berti,bbus3,3,regular,3,2002,12,82,25,20-somethings,female,white,white,no,no,,,non-lgbt,no,new york city,NY,1,no,no,48,7,,,,yes,0,48,7,48,48,6.86,6.86,,no,no,1,1,0,1,2,8,0.67,Chiara Berti,Social
Josh,Feinberg,bbus3,3,regular,3,2002,12,82,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,long island,NY,1,no,no,41,6,,,,yes,0,41,6,41,41,5.86,5.86,,no,no,0,0,0,2,0,9,0.75,Josh Feinberg,Manipulative
Eric,Ouellette,bbus3,3,regular,3,2002,12,82,27,20-somethings,male,white,white,no,no,,,non-lgbt,no,milford,CT,1,yes,no,34,5,41,7,1,yes,0,34,5,34,34,4.86,4.86,,no,no,1,0,0,1,1,10,0.83,Eric Ouellette,Athletic
Tonya,Paoni,bbus3,3,regular,3,2002,12,82,35,30-somethings,female,white,white,no,no,,,non-lgbt,no,las vegas,NV,1,yes,no,20,3,41,21,3,yes,0,20,3,20,20,2.86,2.86,,no,no,0,0,0,1,0,11,0.92,Tonya Paoni,Floater
Lori,Olson,bbus3,3,regular,3,2002,12,82,37,30-somethings,female,white,white,no,no,,,non-lgbt,no,foxboro,WI,1,yes,no,13,2,41,28,4,yes,0,13,2,13,13,1.86,1.86,,no,no,0,0,0,1,0,12,1,Lori Olson,Floater
Jun,Song,bbus4,4,regular,4,2003,13,82,27,20-somethings,female,asian,asian,no,no,,,non-lgbt,no,new york city,NY,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,1,0,3,2,1,0.08,Jun Song,Floater
Alison,Irwin,bbus4,4,regular,4,2003,13,82,22,20-somethings,female,white,white,no,no,,,non-lgbt,no,meadville,PA,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,2,2,0,3,4,2,0.15,Alison Irwin,Floater
Robert,Roman,bbus4,4,regular,4,2003,13,82,33,30-somethings,male,latinx,white-latinx,yes,no,,,non-lgbt,no,los angeles,CA,1,no,no,75,11,,,,yes,7,75,12,82,75,11.71,10.71,,no,no,2,1,0,3,3,3,0.23,Robert Roman,Manipulative
Erika,Landin,bbus4,4,regular,4,2003,13,82,33,30-somethings,female,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,68,10,,,,yes,14,68,12,82,68,11.71,9.71,,no,no,0,1,0,3,1,4,0.31,Erika Landin,Athletic
Jee,Choe,bbus4,4,regular,4,2003,13,82,23,20-somethings,male,asian,asian,no,no,,,non-lgbt,no,elmhurst,NY,1,no,no,61,9,,,,yes,21,61,12,82,61,11.71,8.71,,no,no,1,2,0,2,3,5,0.38,Jee Choe,Athletic
Jack,Owens,bbus4,4,regular,4,2003,13,82,58,50+,male,white,white,no,no,,,non-lgbt,no,birmingham,AL,1,no,no,54,8,,,,yes,28,54,12,82,54,11.71,7.71,,no,no,0,0,0,3,0,6,0.46,Jack Owens,Social
Justin,Giovinco,bbus4,4,regular,4,2003,13,82,22,20-somethings,male,white,white,no,no,,,non-lgbt,no,pittsburgh,PA,1,no,no,47,7,,,,yes,35,47,12,82,47,11.71,6.71,,no,no,0,1,0,1,1,7,0.54,Justin Giovinco,Athletic
Nathan,Marlow,bbus4,4,regular,4,2003,13,82,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,edmond,OK,1,no,no,40,6,,,,yes,42,40,12,82,40,11.71,5.71,,no,no,1,1,0,1,2,8,0.62,Nathan Marlow,Athletic
Dana,Varela,bbus4,4,regular,4,2003,13,82,28,20-somethings,female,unknown,unknown,no,no,,,non-lgbt,no,queens,NY,1,no,no,33,5,,,,yes,49,33,12,82,33,11.71,4.71,,no,no,1,1,0,1,2,9,0.69,Dana Varela,Athletic
David,Lane,bbus4,4,regular,4,2003,13,82,21,20-somethings,male,white,white,no,no,,,non-lgbt,no,deerfield beach,FL,1,no,no,26,4,,,,no,0,26,4,26,26,3.71,3.71,,no,no,1,0,0,1,1,10,0.77,David Lane,Athletic
Michelle,Maradie,bbus4,4,regular,4,2003,13,82,19,teens,female,white,white,no,no,,,non-lgbt,no,boca raton,FL,1,no,no,19,3,,,,no,0,19,3,19,19,2.71,2.71,,no,no,0,0,0,1,0,11,0.85,Michelle Maradie,Floater
Amanda,Craig,bbus4,4,regular,4,2003,13,82,25,20-somethings,female,black,biracial,no,yes,black,white,non-lgbt,no,chicago,IL,1,no,no,12,2,,,,no,0,12,2,12,12,1.71,1.71,,no,no,0,0,0,1,0,12,0.92,Amanda Craig,Floater
Scott,Weintraub,bbus4,4,regular,4,2003,13,82,33,30-somethings,male,white,white,no,no,,,non-lgbt,no,chicago,IL,1,no,no,8,1,,,,no,0,8,2,8,8,1.14,1.14,,yes,no,0,0,0,0,0,13,1,Scott Weintraub,Manipulative
Drew,Daniel,bbus5,5,regular,5,2004,14,82,22,20-somethings,male,white,white,no,no,,,non-lgbt,no,urbana,OH,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,4,0,1,5,1,0.07,Drew Daniel,Athletic
"Michael ""Cowboy""",Ellis,bbus5,5,regular,5,2004,14,82,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,durant,OK,1,no,no,82,12,,,,final,0,82,12,82,82,11.71,11.71,,no,no,1,0,0,4,1,2,0.14,"Michael ""Cowboy"" Ellis",Social
Diane,Henry,bbus5,5,regular,5,2004,14,82,22,20-somethings,female,white,white,no,no,,,non-lgbt,no,burlington,KY,1,no,no,78,11,,,,yes,4,78,12,82,78,11.71,11.14,,no,no,2,1,0,4,3,3,0.21,Diane Henry,Manipulative
"Jennifer ""Nakomis""",Dedmon,bbus5,5,regular,5,2004,14,82,21,20-somethings,female,white,white,no,no,,,non-lgbt,no,san antonio,TX,1,no,no,75,11,,,,yes,7,75,12,82,75,11.71,10.71,,no,no,1,3,0,4,4,4,0.29,"Jennifer ""Nakomis"" Dedmon",Floater
Karen,Ganci,bbus5,5,regular,5,2004,14,82,30,30-somethings,female,white,white,no,no,,,non-lgbt,no,saddle brook,NJ,1,no,no,70,10,,,,yes,12,70,12,82,70,11.71,10,,no,no,1,0,0,2,1,5,0.36,Karen Ganci,Social
Marvin,Latimer,bbus5,5,regular,5,2004,14,82,36,30-somethings,male,black,black,no,no,,,non-lgbt,no,conway,SC,1,no,no,65,9,,,,yes,17,65,12,82,65,11.71,9.29,,no,no,0,2,0,4,2,6,0.43,Marvin Latimer,Floater
Adria,Klein,bbus5,5,regular,5,2004,14,82,30,30-somethings,female,white,white,no,no,,,non-lgbt,no,birmingham,AL,1,no,no,63,9,,,,yes,19,63,12,82,63,11.71,9,,no,no,2,1,0,3,3,7,0.5,Adria Klein,Athletic
Natalie,Carroll,bbus5,5,regular,5,2004,14,82,30,30-somethings,female,white,white,no,no,,,non-lgbt,no,birmingham,AL,1,no,no,56,8,,,,yes,26,56,12,82,56,11.71,8,,no,no,0,0,0,1,0,8,0.57,Natalie Carroll,Floater
Will,Wikle,bbus5,5,regular,5,2004,14,82,26,20-somethings,male,white,white,no,no,,,gay,no,tulepo,MS,1,no,no,49,7,,,,yes,33,49,12,82,49,11.71,7,,no,no,0,0,0,1,0,9,0.64,Will Wikle,Social
Jase,Wirey,bbus5,5,regular,5,2004,14,82,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,decatur,IL,1,no,no,42,6,,,,no,0,42,6,42,42,6,6,,no,no,2,1,0,2,3,10,0.71,Jase Wirey,Athletic
Scott,Long,bbus5,5,regular,5,2004,14,82,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,pittsburgh,PA,1,no,no,35,5,,,,no,0,35,5,35,35,5,5,,no,no,1,0,0,1,1,11,0.79,Scott Long,Floater
Holly,King,bbus5,5,regular,5,2004,14,82,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,28,4,,,,no,0,28,4,28,28,4,4,,no,no,0,0,0,2,0,12,0.86,Holly King,Floater
Lori,Valenti,bbus5,5,regular,5,2004,14,82,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,boston,MA,1,no,no,21,3,,,,no,0,21,3,21,21,3,3,,no,no,0,0,0,1,0,13,0.93,Lori Valenti,Athletic
Mike,Lubinski,bbus5,5,regular,5,2004,14,82,41,40-somethings,male,white,white,no,no,,,non-lgbt,no,eastpointe,MI,1,no,no,14,2,,,,no,0,14,2,14,14,2,2,,no,no,0,0,0,1,0,14,1,Mike Lubinski,Athletic
Maggie,Ausburn,bbus6,6,regular,6,2005,14,80,27,20-somethings,female,white,white,no,no,,,non-lgbt,no,las vegas,NV,1,no,no,80,11,,,,final,0,80,12,80,80,11.43,11.43,,no,no,1,1,0,4,2,1,0.07,Maggie Ausburn,Manipulative
Ivette,Corredero,bbus6,6,regular,6,2005,14,80,25,20-somethings,female,latinx,other-latinx,yes,no,,,lesbian,no,miami beach,FL,1,no,no,80,11,,,,final,0,80,12,80,80,11.43,11.43,,no,no,1,2,0,4,3,2,0.14,Ivette Corredero,Intellectual
Janelle,Pierzina,bbus6,6,regular,6,2005,14,80,25,20-somethings,female,white,white,no,no,,,non-lgbt,no,miami beach,FL,1,no,no,76,11,,,,yes,4,76,12,80,76,11.43,10.86,,no,no,2,2,0,6,4,3,0.21,Janelle Pierzina,Athletic
April,Lewis,bbus6,6,regular,6,2005,14,80,31,30-somethings,female,white,white,no,no,,,non-lgbt,no,dallas,TX,1,no,no,73,10,,,,yes,7,73,12,80,73,11.43,10.43,,no,no,1,1,0,2,2,4,0.29,April Lewis,Floater
Howie,Gordon,bbus6,6,regular,6,2005,14,80,34,30-somethings,male,white,white,no,no,,,non-lgbt,no,chicago,IL,1,no,no,68,10,,,,yes,12,68,12,80,68,11.43,9.71,,no,no,0,2,0,3,2,5,0.36,Howie Gordon,Athletic
Beau,Beasley,bbus6,6,regular,6,2005,14,80,25,20-somethings,male,black,black,no,no,,,gay,no,pembroke pines,FL,1,no,no,63,9,,,,yes,17,63,12,80,63,11.43,9,,no,no,0,1,0,1,1,6,0.43,Beau Beasley,Social
James,Rhine,bbus6,6,regular,6,2005,14,80,29,20-somethings,male,white,white,no,no,,,non-lgbt,no,atlanta,GA,1,no,no,61,9,,,,yes,19,61,12,80,61,11.43,8.71,,no,no,4,0,0,4,4,7,0.5,James Rhine,Intellectual
Rachel,Plencner,bbus6,6,regular,6,2005,14,80,33,30-somethings,female,white,white,no,no,,,non-lgbt,no,parker,CO,1,no,no,54,8,,,,yes,26,54,12,80,54,11.43,7.71,,no,no,2,1,0,2,3,8,0.57,Rachel Plencner,Athletic
Jennifer,Vasquez,bbus6,6,regular,6,2005,14,80,27,20-somethings,female,latinx,other-latinx,yes,no,,,non-lgbt,no,plano,TX,1,no,no,49,7,,,,yes,31,49,12,80,49,11.43,7,,no,no,0,1,0,1,1,9,0.64,Jennifer Vasquez,Floater
Kaysar,Ridha,bbus6,6,regular,6,2005,14,80,25,20-somethings,male,middle eastern,middle eastern,no,no,,,non-lgbt,no,irvine,CA,1,yes,yes,33,5,40,7,1,no,0,47,7,47,40,6.71,5.71,,no,no,0,1,0,3,1,10,0.71,Kaysar Ridha,Intellectual
Sarah,Hrejsa,bbus6,6,regular,6,2005,14,80,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,chicago,IL,1,no,no,40,6,,,,no,0,40,6,40,40,5.71,5.71,,no,no,1,0,0,1,1,11,0.79,Sarah Hrejsa,Floater
Eric,Littmann,bbus6,6,regular,6,2005,14,80,36,30-somethings,male,white,white,no,no,,,non-lgbt,no,boston,MA,1,yes,no,26,4,40,14,2,no,0,26,4,26,26,3.71,3.71,,no,no,0,1,0,1,1,12,0.86,Eric Littmann,Athletic
Michael,Donnellan,bbus6,6,regular,6,2005,14,80,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,orange county,CA,1,yes,no,19,3,40,21,3,no,0,19,3,19,19,2.71,2.71,,no,no,0,0,0,1,0,13,0.93,Michael Donnellan,Floater
Ashlea,Evans,bbus6,6,regular,6,2005,14,80,22,20-somethings,female,white,white,no,no,,,non-lgbt,no,plantation,FL,1,no,no,12,2,,,,no,0,12,2,12,12,1.71,1.71,,no,yes,0,0,0,1,0,14,1,Ashlea Evans,Floater
"Mike ""Boogie""",Malin,bbus7,7,all-stars,1,2006,14,72,36,30-somethings,male,white,white,no,no,,,non-lgbt,no,concord,NH,2,no,no,72,10,,,,final,0,72,11,72,72,10.29,10.29,no,no,no,1,3,0,2,4,1,0.07,"Mike ""Boogie"" Malin",Social
Erika,Landin,bbus7,7,all-stars,1,2006,14,72,36,30-somethings,female,white,white,no,no,,,non-lgbt,no,chicago,IL,2,no,no,72,10,,,,final,0,72,11,72,72,10.29,10.29,no,no,no,2,1,0,6,3,2,0.14,Erika Landin,Social
Janelle,Pierzina,bbus7,7,all-stars,1,2006,14,72,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,grand rapids,MN,2,no,no,67,10,,,,yes,5,67,11,72,67,10.29,9.57,yes,no,no,5,4,0,4,9,3,0.21,Janelle Pierzina,Athletic
Will,Kirby,bbus7,7,all-stars,1,2006,14,72,33,30-somethings,male,white,white,no,no,,,non-lgbt,no,miami,FL,2,no,no,65,9,,,,yes,7,65,11,72,65,10.29,9.29,no,no,no,0,0,0,2,0,4,0.29,Will Kirby,Manipulative
George,Boswell,bbus7,7,all-stars,1,2006,14,72,47,40-somethings,male,white,white,no,no,,,non-lgbt,no,rockford,IL,2,no,no,60,9,,,,yes,12,60,11,72,60,10.29,8.57,no,no,no,1,1,0,4,2,5,0.36,George Boswell,Floater
Danielle,Reyes,bbus7,7,all-stars,1,2006,14,72,34,30-somethings,female,black,black,no,no,,,non-lgbt,no,vacaville,CA,2,no,no,60,9,,,,yes,12,60,11,72,60,10.29,8.57,no,no,no,1,1,0,3,2,6,0.43,Danielle Reyes,Social
James,Rhine,bbus7,7,all-stars,1,2006,14,72,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,miami,FL,2,no,no,53,8,,,,yes,19,53,11,72,53,10.29,7.57,no,no,no,1,1,0,3,2,7,0.5,James Rhine,Intellectual
Howie,Gordon,bbus7,7,all-stars,1,2006,14,72,35,30-somethings,male,white,white,no,no,,,non-lgbt,no,chicago,IL,2,no,no,47,7,,,,yes,25,47,11,72,47,10.29,6.71,no,no,no,0,0,0,1,0,8,0.57,Howie Gordon,Athletic
Marcellas,Reynolds,bbus7,7,all-stars,1,2006,14,72,36,30-somethings,male,black,black,no,no,,,gay,no,chicago,IL,2,no,no,46,7,,,,yes,26,46,11,72,46,10.29,6.57,no,no,no,0,0,0,1,0,9,0.64,Marcellas Reynolds,Social
Kaysar,Ridha,bbus7,7,all-stars,1,2006,14,72,25,20-somethings,male,middle eastern,middle eastern,no,no,,,non-lgbt,no,irvine,CA,2,no,no,39,6,,,,no,0,39,6,39,39,5.57,5.57,no,no,no,0,1,0,1,1,10,0.71,Kaysar Ridha,Intellectual
Diane,Henry,bbus7,7,all-stars,1,2006,14,72,24,20-somethings,female,white,white,no,no,,,non-lgbt,no,cincinnati,OH,2,no,no,32,5,,,,no,0,32,5,32,32,4.57,4.57,no,no,no,0,0,0,2,0,11,0.79,Diane Henry,Social
Jase,Wirey,bbus7,7,all-stars,1,2006,14,72,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,taylorville,IL,2,no,no,25,4,,,,no,0,25,4,25,25,3.57,3.57,no,no,no,0,1,0,1,1,12,0.86,Jase Wirey,Athletic
"Jennifer ""Nakomis""",Dedmon,bbus7,7,all-stars,1,2006,14,72,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,san antonio,TX,2,no,no,18,3,,,,no,0,18,3,18,18,2.57,2.57,no,no,no,0,0,0,1,0,13,0.93,"Jennifer ""Nakomis"" Dedmon",Floater
Alison,Irwin,bbus7,7,all-stars,1,2006,14,72,25,20-somethings,female,white,white,no,no,,,non-lgbt,no,meadville,PA,2,no,no,11,2,,,,no,0,11,2,11,11,1.57,1.57,no,no,no,0,0,0,1,0,14,1,Alison Irwin,Floater
Dick,Donato,bbus8,8,regular,7,2007,14,81,44,40-somethings,male,white,white,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,81,12,,,,final,0,81,12,81,81,11.57,11.57,no,no,no,1,3,0,3,4,1,0.07,Dick Donato,Manipulative
Daniele,Donato,bbus8,8,regular,7,2007,14,81,20,20-somethings,female,white,white,no,no,,,non-lgbt,no,hunting beach,CA,1,no,no,81,12,,,,final,0,81,12,81,81,11.57,11.57,no,no,no,5,2,0,4,7,2,0.14,Daniele Donato,Athletic
Zach,Swerdzewski,bbus8,8,regular,7,2007,14,81,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,tallahassee,FL,1,no,no,76,11,,,,yes,5,76,12,81,76,11.57,10.86,no,no,no,1,2,0,2,3,3,0.21,Zach Swerdzewski,Intellectual
Jameka,Cameron,bbus8,8,regular,7,2007,14,81,28,20-somethings,female,black,black,no,no,,,non-lgbt,no,waldorf,MD,1,no,no,74,11,,,,yes,7,74,12,81,74,11.57,10.57,no,no,no,1,0,0,4,1,4,0.29,Jameka Cameron,Floater
Eric,Stein,bbus8,8,regular,7,2007,14,81,27,20-somethings,male,white,white,no,no,,,non-lgbt,no,new york city,NY,1,no,no,69,10,,,,yes,12,69,12,81,69,11.57,9.86,no,no,no,1,0,0,2,1,5,0.36,Eric Stein,Social
Jessica,Hughbanks,bbus8,8,regular,7,2007,14,81,21,20-somethings,female,white,white,no,no,,,non-lgbt,no,haysville,KS,1,no,no,69,10,,,,yes,12,69,12,81,69,11.57,9.86,no,no,no,0,2,0,1,2,6,0.43,Jessica Hughbanks,Social
Amber,Siyavus,bbus8,8,regular,7,2007,14,81,27,20-somethings,female,white,white,no,no,,,non-lgbt,no,las vegas,NV,1,no,no,62,9,,,,yes,19,62,12,81,62,11.57,8.86,no,no,no,0,0,0,3,0,7,0.5,Amber Siyavus,Floater
Jen,Johnson,bbus8,8,regular,7,2007,14,81,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,beverly hills,CA,1,no,no,55,8,,,,yes,26,55,12,81,55,11.57,7.86,no,no,no,2,1,0,4,3,8,0.57,Jen Johnson,Floater
Dustin,Erikstrup,bbus8,8,regular,7,2007,14,81,22,20-somethings,male,white,white,no,no,,,gay,no,chicago,IL,1,no,no,48,7,,,,yes,33,48,12,81,48,11.57,6.86,no,no,no,0,1,0,1,1,9,0.64,Dustin Erikstrup,Social
Kail,Harbick,bbus8,8,regular,7,2007,14,81,37,30-somethings,female,white,white,no,no,,,non-lgbt,no,mckenzie bridge,OR,1,no,no,41,6,,,,no,0,41,6,41,41,5.86,5.86,no,no,no,0,1,0,3,1,10,0.71,Kail Harbick,Intellectual
Nick,Starcevic,bbus8,8,regular,7,2007,14,81,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,kimball,MN,1,no,no,34,5,,,,no,0,34,5,34,34,4.86,4.86,no,no,no,0,0,0,1,0,11,0.79,Nick Starcevic,Athletic
Mike,Dutz,bbus8,8,regular,7,2007,14,81,26,20-somethings,male,white,white,no,no,,,non-lgbt,no,three lakes,WS,1,no,no,27,4,,,,no,0,27,4,27,27,3.86,3.86,no,no,no,0,0,0,1,0,12,0.86,Mike Dutz,Athletic
Joe,Barber,bbus8,8,regular,7,2007,14,81,23,20-somethings,male,white,white,no,no,,,gay,no,chicago,IL,1,no,no,20,3,,,,no,0,20,3,20,20,2.86,2.86,no,no,no,0,0,0,1,0,13,0.93,Joe Barber,Social
Carol,Journey,bbus8,8,regular,7,2007,14,81,21,20-somethings,female,latinx,other-latinx,yes,no,,,non-lgbt,no,lawrence,KS,1,no,no,13,2,,,,no,0,13,2,13,13,1.86,1.86,no,no,no,0,0,0,1,0,14,1,Carol Journey,Floater
